index,precision,recall
0,0.6644981944243222,1.0
1,0.9207855199200617,0.9999352822792199
2,0.9207860526796935,0.9999352822792199
3,0.9207865854399417,0.9999352822792199
4,0.9207881837243856,0.9999352822792199
5,0.9207887164870999,0.9999352822792199
6,0.9207903147789419,0.9999352822792199
7,0.9207908475441222,0.9999352822792199
8,0.9207913803099191,0.9999352822792199
9,0.9207919130763325,0.9999352822792199
10,0.9207924458433624,0.9999352822792199
11,0.9207929786110087,0.9999352822792199
12,0.9207935113792717,0.9999352822792199
13,0.9298095035547184,0.9999170607850196
14,0.9298100468178416,0.9999170607850196
15,0.9298105900815997,0.9999170607850196
16,0.9298111333459926,0.9999170607850196
17,0.9298116766110204,0.9999170607850196
18,0.9336422070881775,0.9998994676182057
19,0.9336427548488652,0.9998994676182057
20,0.9336438503721687,0.9998994676182057
21,0.9336443981347846,0.9998994676182057
22,0.9360373910276356,0.9998856444157089
23,0.9360390427767099,0.9998856444157089
24,0.9378154033833579,0.9998686795762811
25,0.9392268160803463,0.9998579980107155
26,0.9392273704365194,0.9998579980107155
27,0.9392279247933469,0.9998579980107155
28,0.9403850699697428,0.9998460597903774
29,0.9413874968275594,0.9998347498974256
30,0.9413880537501967,0.9998347498974256
31,0.9413886106734929,0.9998347498974256
32,0.9413891675974481,0.9998347498974256
33,0.9422591699318965,0.9998215550223151
34,0.9422597278937346,0.9998215550223151
35,0.9422602858562334,0.9998215550223151
36,0.943049111288775,0.9998171567306116
37,0.9430496701889968,0.9998171567306116
38,0.9430502290898811,0.9998171567306116
39,0.9437344203433619,0.999809616801977
40,0.9443315206844347,0.9998001918911837
41,0.9448872388512602,0.9997895103256181
42,0.9448877999478623,0.9997895103256181
43,0.9448883610451306,0.9997895103256181
44,0.9448889221430654,0.9997895103256181
45,0.9454016876263314,0.9997825987243697
46,0.9454022493379669,0.9997825987243697
47,0.9458711576975045,0.9997756871231214
48,0.9458717199710384,0.9997756871231214
49,0.9458722822452407,0.9997756871231214
50,0.9458728445201114,0.9997756871231214
51,0.9458734067956508,0.9997756871231214
52,0.9463388494240459,0.999768775521873
53,0.9463394122576474,0.999768775521873
54,0.9467709228348855,0.9997612355932385
55,0.9467714861868032,0.9997612355932385
56,0.9467720495393912,0.9997612355932385
57,0.9471585416378954,0.9997587222836936
58,0.9471591054526103,0.9997587222836936
59,0.9475061990705562,0.9997518106824452
60,0.9478285837170138,0.999742385771652
61,0.9478285526384765,0.9997417574442657
62,0.9478296818836548,0.9997417574442657
63,0.947830246507253,0.9997417574442657
64,0.9481602650624666,0.999733589188245
65,0.9481608300846079,0.999733589188245
66,0.9484690641512313,0.9997260492596104
67,0.9484696295457323,0.9997260492596104
68,0.9487317396326073,0.9997197659857483
69,0.949022774976693,0.9997115977297275
70,0.9490239071034177,0.9997115977297275
71,0.949024473167793,0.9997115977297275
72,0.9492868368202934,0.999704057801093
73,0.9492874032026434,0.999704057801093
74,0.9495514658005728,0.9996933762355272
75,0.9495520325047984,0.9996933762355272
76,0.9495525992097004,0.9996933762355272
77,0.9495531659152788,0.9996933762355272
78,0.9498124586217992,0.9996864646342789
79,0.950035618468579,0.9996801813604168
80,0.9502673103697071,0.999672013104396
81,0.9502678779408339,0.999672013104396
82,0.9502684455126387,0.999672013104396
83,0.9504805282554916,0.9996669864853063
84,0.9504810960842017,0.9996669864853063
85,0.950710142052313,0.9996581899018993
86,0.9507107101604035,0.9996581899018993
87,0.9509332555520756,0.9996537916101957
88,0.951144475924067,0.9996481366637198
89,0.951347259288139,0.9996424817172439
90,0.951347828166858,0.9996424817172439
91,0.9513483970462573,0.9996424817172439
92,0.9515432440272374,0.9996355701159955
93,0.9517284657402638,0.9996280301873609
94,0.9517290350832064,0.9996280301873609
95,0.9517296044268302,0.9996280301873609
96,0.9517301737711351,0.9996280301873609
97,0.9519064731413637,0.9996230035682713
98,0.9519070427001655,0.9996230035682713
99,0.9520860575412559,0.999613578657478
100,0.9520866273203533,0.999613578657478
101,0.9522522333787242,0.9996085520383883
102,0.9522528033596022,0.9996085520383883
103,0.9522533733411626,0.9996085520383883
104,0.9523989976089645,0.99960164043714
105,0.952399567769493,0.99960164043714
106,0.9525601530433533,0.9995966138180502
107,0.95256072339972,0.9995966138180502
108,0.9527155742108033,0.9995897022168019
109,0.9527155458938934,0.9995890738894156
110,0.9528663694610108,0.9995802773060086
111,0.9528669401934653,0.9995802773060086
112,0.9528675109266035,0.9995802773060086
113,0.9530157558664408,0.9995765073416913
114,0.9530163267800168,0.9995765073416913
115,0.9531640480594266,0.9995727373773741
116,0.9866149461546286,0.9933918808791808
117,0.9867718725346276,0.9933843409505463
118,0.9869226740444201,0.9933755443671393
119,0.9869232901271714,0.9933755443671393
120,0.987066161367056,0.9933692610932771
121,0.9870667776328613,0.9933692610932771
122,0.9872127904566129,0.9933642344741873
123,0.9873650222646906,0.9933598361824839
124,0.9874938318644322,0.9933529245812355
125,0.987636304572587,0.9933504112716907
126,0.9876369215622334,0.9933504112716907
127,0.9876369138388476,0.9933497829443044
128,0.9876375308296454,0.9933497829443044
129,0.987789242436928,0.9933422430156699
130,0.987789859622749,0.9933422430156699
131,0.9877904768093413,0.9933422430156699
132,0.9879181604408803,0.9933347030870353
133,0.9879187777924977,0.9933347030870353
134,0.9880631623026178,0.9933265348310145
135,0.9880637798405504,0.9933265348310145
136,0.988207561912644,0.9933158532654488
137,0.9882081796377316,0.9933158532654488
138,0.9883582151138764,0.993307685009428
139,0.988495376015307,0.993304543372497
140,0.9884959941073078,0.993304543372497
